concept_id,irrCI,irrP,irrFdr,concept_name,domain_id
315831,4.07 (2.07-7.99),4.69787395609316e-05,0.0638441070633061,Chronic pulmonary heart disease,Condition
4228361,2.6 (1.56-4.33),0.000237802927480805,0.118166288357839,Asteatosis cutis,Condition
433740,3.62 (1.81-7.22),0.000260852733681763,0.118166288357839,Immunodeficiency disorder,Condition
253797,3.34 (1.69-6.59),0.000499254905436951,0.161177706178626,Post-inflammatory pulmonary fibrosis,Condition
4177206,3.84 (1.78-8.28),0.00059300112648501,0.161177706178626,Tubulointerstitial nephritis,Condition
378419,3.5 (1.68-7.28),0.000808878172842426,0.18321090614881,Alzheimer's disease,Condition
257315,2.97 (1.5-5.87),0.00173407187108197,0.262923017681128,Bacterial pneumonia,Condition
4170770,2.45 (1.39-4.32),0.00200562122966643,0.262923017681128,Epidermoid cyst,Condition
443729,2.78 (1.45-5.36),0.00217882113189714,0.262923017681128,Peripheral circulatory disorder due to type 2 diabetes mellitus,Condition
44782747,3.62 (1.58-8.27),0.00229387472794954,0.262923017681128,Acute deep venous thrombosis of femoral vein,Condition
132797,2.16 (1.31-3.57),0.00252256870889015,0.262923017681128,Sepsis,Condition
436676,3.09 (1.48-6.45),0.00261214634502964,0.262923017681128,Posttraumatic stress disorder,Condition
440371,3.27 (1.51-7.07),0.0026828621996391,0.262923017681128,Disorder of immune function,Condition
439297,0.35 (0.175-0.698),0.00287681638406378,0.262923017681128,Nuclear senile cataract,Condition
4256228,2.7 (1.4-5.19),0.00290202006270561,0.262923017681128,Respiratory failure,Condition
4132130,3.24 (1.48-7.1),0.00324363490494828,0.275506239739045,Dilatation of aorta,Condition
443563,3.3 (1.44-7.57),0.00483338572312394,0.386386541042673,Arteriosclerosis of coronary artery bypass graft,Condition
197500,3.01 (1.39-6.52),0.0052329548217492,0.395088089042065,Primary malignant neoplasm of colon,Condition
374888,2.66 (1.33-5.33),0.00579728522598312,0.414658453795319,Dementia associated with another disease,Condition
255848,1.9 (1.2-3.01),0.00650072743488903,0.44172442920071,Pneumonia,Condition
137682,2.16 (1.23-3.82),0.0076945662551829,0.497948359085408,Skin sensation disturbance,Condition
4219481,2.47 (1.26-4.86),0.00865606905426834,0.534708992943213,Degenerative joint disease of ankle AND/OR foot,Condition
73302,3.23 (1.32-7.94),0.0104322162240889,0.595793658734831,Curvature of spine,Condition
434626,3.16 (1.31-7.62),0.0105217423176129,0.595793658734831,Borderline personality disorder,Condition
4133224,3.17 (1.3-7.75),0.0114914027078507,0.612882259124445,Lobar pneumonia,Condition
4150981,3.18 (1.29-7.8),0.0117254884012035,0.612882259124445,Drug resistance,Condition
74125,3.13 (1.27-7.74),0.013333134762886,0.657053809217229,Inflammatory polyarthropathy,Condition
137351,2.45 (1.2-4.98),0.0135375324930702,0.657053809217229,Epidermoid cyst of skin,Condition
199856,2.62 (1.21-5.65),0.0144467813264768,0.677006062851103,Varicose veins of lower extremity with inflammation,Condition
198683,3.02 (1.22-7.46),0.0164075700612649,0.728986600133074,Viral hepatitis B without hepatic coma,Condition
