concept_id,irrCI,irrP,irrFdr,concept_name,domain_id
37003432,0.289 (0.21-0.399),3.37068918900284e-14,1.80668940530552e-11,"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein",Drug
1703063,4.33 (1.92-9.76),0.0004047185869684,0.108464581307531,valganciclovir,Drug
715997,2.91 (1.5-5.65),0.00156389465563476,0.268229115084728,donepezil,Drug
1325608,3.62 (1.54-8.49),0.0030935625498225,0.268229115084728,pegfilgrastim,Drug
19008339,3.27 (1.42-7.53),0.00526239042695307,0.268229115084728,vitamin A,Drug
1317640,3.18 (1.4-7.24),0.00584481369208333,0.268229115084728,telmisartan,Drug
1154343,1.56 (1.13-2.15),0.00720389670965879,0.268229115084728,albuterol,Drug
40239216,3.01 (1.32-6.86),0.00883555718081103,0.268229115084728,linagliptin,Drug
1341927,2.21 (1.21-4.02),0.0098497641485636,0.268229115084728,enalapril,Drug
1149196,1.93 (1.17-3.17),0.009856049126329,0.268229115084728,cetirizine,Drug
19003999,2.77 (1.27-6.04),0.010280776376093,0.268229115084728,mycophenolate mofetil,Drug
1153428,2.25 (1.2-4.22),0.0113391935255319,0.268229115084728,fexofenadine,Drug
1551860,2 (1.17-3.42),0.0114431256923005,0.268229115084728,pravastatin,Drug
1707687,1.75 (1.13-2.73),0.0126466129942774,0.268229115084728,vancomycin,Drug
967823,1.49 (1.09-2.05),0.0129633298413541,0.268229115084728,sodium chloride,Drug
953076,1.55 (1.1-2.19),0.0130644385242539,0.268229115084728,famotidine,Drug
19037223,3.1 (1.27-7.57),0.0130892515629183,0.268229115084728,beta carotene,Drug
940864,2.07 (1.15-3.75),0.0156005323599445,0.268229115084728,econazole,Drug
19011773,1.73 (1.11-2.69),0.015746686064336,0.268229115084728,ascorbic acid,Drug
901318,2.76 (1.2-6.31),0.0163292295936968,0.268229115084728,sodium ascorbate,Drug
1705674,1.54 (1.07-2.23),0.0217987726435852,0.268229115084728,trimethoprim,Drug
40163661,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 1 capsular polysaccharide antigen,Drug
40163668,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 10A capsular polysaccharide antigen,Drug
40163670,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 11A capsular polysaccharide antigen,Drug
40163672,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 12F capsular polysaccharide antigen,Drug
40163674,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 14 capsular polysaccharide antigen,Drug
40163676,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 15B capsular polysaccharide antigen,Drug
40163678,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 17F capsular polysaccharide antigen,Drug
40163680,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 18C capsular polysaccharide antigen,Drug
40163682,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 19A capsular polysaccharide antigen,Drug
40163684,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 19F capsular polysaccharide antigen,Drug
40163686,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 2 capsular polysaccharide antigen,Drug
40163688,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 20 capsular polysaccharide antigen,Drug
40163690,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 22F capsular polysaccharide antigen,Drug
40163692,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 23F capsular polysaccharide antigen,Drug
40163694,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 3 capsular polysaccharide antigen,Drug
40163696,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 33F capsular polysaccharide antigen,Drug
40163698,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 4 capsular polysaccharide antigen,Drug
40163700,1.59 (1.07-2.36),0.0220188079547165,0.268229115084728,Streptococcus pneumoniae type 5 capsular polysaccharide antigen,Drug
